time,month.yr,location,cases,disease,lat,lon
1949,Dec-48,ALABAMA,542,measles,32.361538,-86.279118
1949.083333,Jan-49,ALABAMA,1490,measles,32.361538,-86.279118
1949.166667,Feb-49,ALABAMA,1989,measles,32.361538,-86.279118
1949.25,Mar-49,ALABAMA,3186,measles,32.361538,-86.279118
1949.333333,Apr-49,ALABAMA,2435,measles,32.361538,-86.279118
1949.416667,May-49,ALABAMA,1317,measles,32.361538,-86.279118
1949.5,Jun-49,ALABAMA,410,measles,32.361538,-86.279118
1949.583333,Jul-49,ALABAMA,102,measles,32.361538,-86.279118
1949.666667,Aug-49,ALABAMA,66,measles,32.361538,-86.279118
1949.75,Sep-49,ALABAMA,16,measles,32.361538,-86.279118
1949.833333,Oct-49,ALABAMA,16,measles,32.361538,-86.279118
1949.916667,Nov-49,ALABAMA,70,measles,32.361538,-86.279118
1950,Dec-49,ALABAMA,35,measles,32.361538,-86.279118
1950.083333,Jan-50,ALABAMA,131,measles,32.361538,-86.279118
1950.166667,Feb-50,ALABAMA,207,measles,32.361538,-86.279118
1950.25,Mar-50,ALABAMA,271,measles,32.361538,-86.279118
1950.333333,Apr-50,ALABAMA,422,measles,32.361538,-86.279118
1950.416667,May-50,ALABAMA,185,measles,32.361538,-86.279118
1950.5,Jun-50,ALABAMA,146,measles,32.361538,-86.279118
1950.583333,Jul-50,ALABAMA,83,measles,32.361538,-86.279118
1950.666667,Aug-50,ALABAMA,18,measles,32.361538,-86.279118
1950.75,Sep-50,ALABAMA,5,measles,32.361538,-86.279118
1950.833333,Oct-50,ALABAMA,14,measles,32.361538,-86.279118
1950.916667,Nov-50,ALABAMA,12,measles,32.361538,-86.279118
1951,Dec-50,ALABAMA,9,measles,32.361538,-86.279118
1951.083333,Jan-51,ALABAMA,49,measles,32.361538,-86.279118
1951.166667,Feb-51,ALABAMA,108,measles,32.361538,-86.279118
1951.25,Mar-51,ALABAMA,269,measles,32.361538,-86.279118
1951.333333,Apr-51,ALABAMA,538,measles,32.361538,-86.279118
1951.416667,May-51,ALABAMA,1076,measles,32.361538,-86.279118
1951.5,Jun-51,ALABAMA,591,measles,32.361538,-86.279118
1951.583333,Jul-51,ALABAMA,152,measles,32.361538,-86.279118
1951.666667,Aug-51,ALABAMA,30,measles,32.361538,-86.279118
1951.75,Sep-51,ALABAMA,20,measles,32.361538,-86.279118
1951.833333,Oct-51,ALABAMA,38,measles,32.361538,-86.279118
1951.916667,Nov-51,ALABAMA,203,measles,32.361538,-86.279118
1952,Dec-51,ALABAMA,70,measles,32.361538,-86.279118
1952.083333,Jan-52,ALABAMA,739,measles,32.361538,-86.279118
1952.166667,Feb-52,ALABAMA,2030,measles,32.361538,-86.279118
1952.25,Mar-52,ALABAMA,3037,measles,32.361538,-86.279118
1952.333333,Apr-52,ALABAMA,3372,measles,32.361538,-86.279118
1952.416667,May-52,ALABAMA,1292,measles,32.361538,-86.279118
1952.5,Jun-52,ALABAMA,658,measles,32.361538,-86.279118
1952.583333,Jul-52,ALABAMA,348,measles,32.361538,-86.279118
1952.666667,Aug-52,ALABAMA,68,measles,32.361538,-86.279118
1952.75,Sep-52,ALABAMA,42,measles,32.361538,-86.279118
1952.833333,Oct-52,ALABAMA,33,measles,32.361538,-86.279118
1952.916667,Nov-52,ALABAMA,91,measles,32.361538,-86.279118
1953,Dec-52,ALABAMA,164,measles,32.361538,-86.279118
1953.083333,Jan-53,ALABAMA,238,measles,32.361538,-86.279118
1953.166667,Feb-53,ALABAMA,511,measles,32.361538,-86.279118
1953.25,Mar-53,ALABAMA,515,measles,32.361538,-86.279118
1953.333333,Apr-53,ALABAMA,443,measles,32.361538,-86.279118
1953.416667,May-53,ALABAMA,433,measles,32.361538,-86.279118
1953.5,Jun-53,ALABAMA,210,measles,32.361538,-86.279118
1953.583333,Jul-53,ALABAMA,48,measles,32.361538,-86.279118
1953.666667,Aug-53,ALABAMA,24,measles,32.361538,-86.279118
1953.75,Sep-53,ALABAMA,31,measles,32.361538,-86.279118
1953.833333,Oct-53,ALABAMA,38,measles,32.361538,-86.279118
1953.916667,Nov-53,ALABAMA,114,measles,32.361538,-86.279118
1954,Dec-53,ALABAMA,200,measles,32.361538,-86.279118
1954.083333,Jan-54,ALABAMA,521,measles,32.361538,-86.279118
1954.166667,Feb-54,ALABAMA,1420,measles,32.361538,-86.279118
1954.25,Mar-54,ALABAMA,2071,measles,32.361538,-86.279118
1954.333333,Apr-54,ALABAMA,1958,measles,32.361538,-86.279118
1954.416667,May-54,ALABAMA,1437,measles,32.361538,-86.279118
1954.5,Jun-54,ALABAMA,564,measles,32.361538,-86.279118
1954.583333,Jul-54,ALABAMA,206,measles,32.361538,-86.279118
1954.666667,Aug-54,ALABAMA,58,measles,32.361538,-86.279118
1954.75,Sep-54,ALABAMA,12,measles,32.361538,-86.279118
1954.833333,Oct-54,ALABAMA,38,measles,32.361538,-86.279118
1954.916667,Nov-54,ALABAMA,52,measles,32.361538,-86.279118
1955,Dec-54,ALABAMA,109,measles,32.361538,-86.279118
1955.083333,Jan-55,ALABAMA,168,measles,32.361538,-86.279118
1955.166667,Feb-55,ALABAMA,168,measles,32.361538,-86.279118
1955.25,Mar-55,ALABAMA,493,measles,32.361538,-86.279118
1955.333333,Apr-55,ALABAMA,448,measles,32.361538,-86.279118
1955.416667,May-55,ALABAMA,338,measles,32.361538,-86.279118
1955.5,Jun-55,ALABAMA,200,measles,32.361538,-86.279118
1955.583333,Jul-55,ALABAMA,120,measles,32.361538,-86.279118
1955.666667,Aug-55,ALABAMA,30,measles,32.361538,-86.279118
1955.75,Sep-55,ALABAMA,16,measles,32.361538,-86.279118
1955.833333,Oct-55,ALABAMA,22,measles,32.361538,-86.279118
1955.916667,Nov-55,ALABAMA,28,measles,32.361538,-86.279118
1956,Dec-55,ALABAMA,34,measles,32.361538,-86.279118
1956.083333,Jan-56,ALABAMA,121,measles,32.361538,-86.279118
1956.166667,Feb-56,ALABAMA,245,measles,32.361538,-86.279118
1956.25,Mar-56,ALABAMA,709,measles,32.361538,-86.279118
1956.333333,Apr-56,ALABAMA,1247,measles,32.361538,-86.279118
1956.416667,May-56,ALABAMA,2119,measles,32.361538,-86.279118
1956.5,Jun-56,ALABAMA,1314,measles,32.361538,-86.279118
1956.583333,Jul-56,ALABAMA,408,measles,32.361538,-86.279118
1956.666667,Aug-56,ALABAMA,114,measles,32.361538,-86.279118
1956.75,Sep-56,ALABAMA,53,measles,32.361538,-86.279118
1956.833333,Oct-56,ALABAMA,137,measles,32.361538,-86.279118
1956.916667,Nov-56,ALABAMA,232,measles,32.361538,-86.279118
1957,Dec-56,ALABAMA,420,measles,32.361538,-86.279118
