time,month_yr,location,cases,disease,lat,lon
1960.333333,Apr-60,ALABAMA,0,polio,32.361538,-86.279118
1960.416667,May-60,ALABAMA,0,polio,32.361538,-86.279118
1960.5,Jun-60,ALABAMA,0,polio,32.361538,-86.279118
1960.583333,Jul-60,ALABAMA,7,polio,32.361538,-86.279118
1960.666667,Aug-60,ALABAMA,1,polio,32.361538,-86.279118
1960.75,Sep-60,ALABAMA,4,polio,32.361538,-86.279118
1960.833333,Oct-60,ALABAMA,7,polio,32.361538,-86.279118
1960.916667,Nov-60,ALABAMA,2,polio,32.361538,-86.279118
1961,Dec-60,ALABAMA,0,polio,32.361538,-86.279118
1961.083333,Jan-61,ALABAMA,0,polio,32.361538,-86.279118
1961.166667,Feb-61,ALABAMA,0,polio,32.361538,-86.279118
1961.25,Mar-61,ALABAMA,0,polio,32.361538,-86.279118
1961.333333,Apr-61,ALABAMA,0,polio,32.361538,-86.279118
1961.416667,May-61,ALABAMA,0,polio,32.361538,-86.279118
1961.5,Jun-61,ALABAMA,1,polio,32.361538,-86.279118
